,EventId,EventTemplate
93,b6e2fec0,kernel: GM: <*> failed (#43# retry):OK
94,76a8cdf7,sshd[4364]: <*> <*> <*> closed by remote <*>
95,d5d73ff8,sshd[9787]: <*> <*> <*> closed by remote <*>
96,fab7b204,<*> (#50#) CMD (<*> <*>
97,1a1a1b19,<*> (#50#) CMD (<*>
98,bdf8c9bf,postfix/nqmgr[2448]: <*> <*> <*> nrcpt=1 (queue active)
99,30f35367,<*> <*> uid=30385 from=<#50#>
100,658f03f0,<*> (#50#) CMD (crontab <*>
101,6d6cdfac,<*> (#50#) <*> (#50#)
102,73c961dd,crond[2449]: <*> RELOAD <*>
103,7669d5ac,sshd[15603]: <*> <*> <*> closed by remote <*>
104,e624ac88,sshd[6406]: <*> <*> <*> closed by remote <*>
105,b91816dc,<*> (#50#) CMD (<*> -T 4.2')
106,56e8d180,sshd[17821]: <*> <*> <*> closed by remote <*>
107,78faf12d,sshd[8134]: <*> <*> <*> closed by remote <*>
108,2e5f9598,syslogd 1.4.1: restart.
109,414ac732,nmbd[3187]: <*> <*> (Samba Server)
110,d2b86d96,<*> <*> current master browser = <*>
111,36cc9af9,<*> dump workgroup on subnet <*>: netmask= #55#:
112,c69b7576,<*> Got SIGHUP dumping debug info.
113,707d74d8,nmbd[3187]: <*>
114,764781d7,"<*> SIGHUP received, restarting syslog-ng"
115,a94ffd92,<*> new configuration initialized
116,24a5aa09,sshd[10194]: <*> <*> <*> closed by remote <*>
117,d9de7fbb,sshd[20106]: <*> <*> <*> closed by remote <*>
118,6762788d,sshd[31836]: <*> <*> <*> closed by remote <*>
119,423d5a6a,sshd[21940]: <*> <*> <*> closed by remote <*>
120,82fe2f93,"postfix/nqmgr[7447]: <*> from=<#7#@#11#>, <*> <*> (queue active)"
121,db3c5fa2,<*> <*> uid=9458 from=<#7#>
122,b4976e75,sshd[15539]: <*> <*> <*> closed by remote <*>
123,4bf98061,sshd[1584]: <*> <*> <*> closed by remote <*>
124,3eed9b71,kernel: GM: LANai is not running. Allowing port=0 open for debugging
125,51f104ec,init: Switching to runlevel: <*>
126,8a37b05d,shutdown: shutting down for system <*>
127,293dc877,cmanic: <*> <*> NIC Agent Daemon <*>
128,86ae9af7,cmanic: Shutting down NIC Agents (cmanic): All agents
129,f0c27153,cmanicd: cmanicd shutdown succeeded
130,212c1c15,snmpd: cmaX: subMIB <*> handler has disconnected
131,a1d81f90,cmanic:
132,59df4217,cmanic: [ OK ]
133,142e92f0,hpasm:
134,8f365413,hpasm: <*> <*> NIC Agent Daemon <*>
135,a83e3786,hpasm: Shutting down Storage Event Logger (cmaeventd):
136,e561fe7f,hpasm: Shutting down <*> Agents <*> <*> <*>
137,e146d9b7,rc: <*> <*> succeeded
138,969c512a,hpasm: Shutting down <*> agent <*>
139,08300795,hpasm: <*> HP Lights-Out Drivers and Agents (hprsm): <*> <*>
140,8e89aaff,hpasm: <*> cpqci:
141,49e4b326,hpasm: Shutting down Standard Equipment agent (cmastdeqd):
142,628bb89f,hpasm: Shutting down Server Agents (cmasvr): cmastdeqd cmahealthd cmaperfd
143,00f5a884,hpasm: <*>
144,bd9cbae6,hprsm: <*> <*> succeeded
145,05c68f14,hpasm: Shutting down Proliant System Health Monitor (hpasmd):
146,959a5da4,hpasm: Shutting down <*> Agents <*> <*>
147,43c39e82,<*> ProLiant System Health Monitor <*>
148,ae21fbe6,snmpd: Received TERM or STOP signal... shutting down...
149,c31ba7c4,sshd: sshd <*> <*>
150,b84ea361,<*> Received signal 15; terminating.
151,3a089ab4,snmpd: snmpd <*> <*>
152,b86f2755,xinetd: xinetd <*> <*>
153,de1421c3,<*> Exiting...
154,e29cebc3,acpid: acpid <*> <*>
155,59f69cc3,crond: crond <*> succeeded
156,4ae304bc,autofs: automount <*> <*>
157,33c9266e,ntpd: ntpd <*> <*>
158,0484cf85,<*> ntpd exiting on signal 15
159,f9c2c77a,netfs: <*> <*> filesystems: succeeded
160,17584460,dd: 1+0 records <*>
161,2772f0b5,random: Saving random seed: succeeded
162,13cdd30e,"<*> Caught signal 15, un-registering and exiting."
163,dbac1fcf,nfslock: rpc.statd <*> <*>
164,0e4ca7e7,kernel: Kernel log daemon terminating.
165,815077e0,kernel: Kernel logging (proc) stopped.
166,5e9d5a69,portmap: portmap <*> succeeded
167,c96f366f,exiting on signal 15
168,4624267e,dhcpd: DHCPDISCOVER from <*> via eth0
169,819c2ca9,dhcpd: <*> on <*> to <*> via eth0
170,027ead24,dhcpd: DHCPREQUEST for <*> (<*>) from <*> via eth0
171,81768e09,<*> tftp: client does not accept options
172,d9715ee2,kernel: BIOS-e820: <*> - <*> <*>
173,7c3d73f9,kernel: BIOS-e820: <*> - <*> (ACPI data)
174,d24971a8,kernel: BIOS-provided physical RAM map:
175,bd2de982,kernel: Bootdata ok (command line is ro <*> <*>
176,44c4d74d,kernel: <*> <*> node <*> 0000000000000000-000000007fff3000
177,d4941c0e,kernel: Linux version <*> <*> (gcc version 3.2.3 20030502 (Red Hat Linux <*> #1 SMP <*> <*> <*> <*> <*> 2004
178,24455b95,kernel: No NUMA configuration found
179,75f518e5,kernel: kernel direct mapping tables upto <*> @ <*>
180,7ce5f6f7,"kernel: klogd 1.4.1, log source = /proc/kmsg started."
181,b7d5eb71,<*> Version 1.0.6 Starting
182,f542471f,syslog: <*> <*> succeeded
183,cb408efe,kernel: ACPI: BIOS passes blacklist
184,0495b9e4,kernel: ACPI: <*> (v001 HP <*> <*> @ <*>
185,76bb0069,kernel: ACPI: <*> <*> HP P52 00000.00002) @ <*>
186,89c8540f,kernel: ACPI: INT_SRC_OVR (bus[0] <*> <*> polarity[0x1] <*>
187,332f96f2,kernel: ACPI: IOAPIC <*> <*> <*>
188,6dbbcced,kernel: ACPI: LAPIC <*> <*> <*>
189,366e8d44,kernel: ACPI: LAPIC_NMI (acpi_id[0xff] polarity[0x0] trigger[0x0] lint[0x1])
190,5bbab060,kernel: ACPI: Local APIC address 0xfee00000
191,76d59e5e,kernel: ACPI: RSDP (v002 HP ) @ 0x00000000000f4f20
192,859ae825,kernel: Calibrating delay loop... <*> BogoMIPS
193,728feadd,kernel: Console: colour VGA+ 80x25
194,8261fc89,kernel: <*> Assigned apic_id <*>
195,f90cabf0,"kernel: <*> apic_id <*> version 32, address <*> IRQ <*>"
196,e976496f,kernel: Initializing <*>
197,22150107,kernel: Kernel command line: ro <*> <*>
198,aa57b026,kernel: On node 0 totalpages: <*>
199,6a032038,kernel: <*> hash table entries: <*> (order: <*> <*> KB)
200,c3511a6e,kernel: Processor <*> 15:3 APIC version 16
201,1103b0bf,kernel: Using ACPI (MADT) for SMP configuration information
202,df2ab762,kernel: found SMP MP-table at 000f4fa0
203,c2b9e8f2,"kernel: hm, page <*> reserved twice."
204,30088dbb,kernel: <*> <*> node 0 <*>
205,b0bde038,kernel: time.c: Detected <*> MHz <*> timer.
206,3f936fa7,kernel: <*> <*> pages.
207,ce435411,audit: auditd <*> <*>
208,30b06b38,kernel: <*> 000 00 1 0 0 0 0 0 0 00
209,a241dae7,kernel: <*> <*> <*> <*> <*> 0 0 0 1 1 <*>
210,86969628,"kernel: IO-APIC (apicid-pin) 8-0, 8-16, 8-17, 8-18, 8-19, 8-20, 8-21, 8-22, 8-23, 9-0, 9-1, 9-2, 9-3, 9-4, 9-5, 9-6, 9-7, 9-8, 9-9, 9-10, 9-11, 9-12, 9-13, 9-14, 9-15, 9-16, 9-17, 9-18, 9-19, 9-20, 9-21, 9-22, 9-23, 10-0, 10-1, 10-2, 10-3, 10-4, 10-5, 10-6, 10-7, 10-8, 10-9, 10-10, 10-11, 10-12, 10-13, 10-14, 10-15, 10-16, 10-17, 10-18, 10-19, 10-20, 10-21, 10-22, 10-23, 11-0, 11-1, 11-2, 11-3, 11-4, 11-5, 11-6, 11-7, 11-8, 11-9, 11-10, 11-11, 11-12, 11-13, 11-14, 11-15, 11-16, 11-17, 11-18, 11-19, 11-20, 11-21, 11-22, 11-23 not connected."
211,c6dcc781,kernel: NR Log Phy Mask Trig IRR Pol Stat Dest Deli Vect:
212,680ffdbb,kernel: .... IRQ redirection table:
213,84112e48,kernel: .... register <*> <*>
214,fcdaa64b,kernel: ....... : <*> APIC <*> <*>
215,1b157308,kernel: ....... : PRQ implemented: 1
216,e71b49a0,kernel: ....... : arbitration: <*>
217,3ef9b026,kernel: ....... : max redirection entries: 0017
218,fdbb4b43,kernel: .................................... done.
219,a52067d4,kernel: ..TIMER: vector=0x31 pin1=2 pin2=0
220,3a48d15c,kernel: Booting processor <*> rip 6000 page <*>
221,f7b079f8,kernel: <*> cache hash table entries: <*> (order: <*> <*> <*>
222,aed77777,kernel: <*> Intel(R) Xeon(TM) CPU 3.40GHz stepping 04
223,2f1438dd,kernel: CPU: Physical Processor ID: <*>
224,a8f10282,kernel: CPU: Trace cache: 12K uops<6>CPU: L2 cache: 1024K
225,8f028d2e,kernel: <*> <*> IRQs
226,ef26ddb1,kernel: IO APIC <*>
227,8a7add83,kernel: IRQ to pin mappings:
228,48eafee5,kernel: <*> -> <*>
229,6e554929,kernel: Intel machine check architecture supported.
230,2ca2691e,kernel: Intel machine check reporting enabled on <*>
231,c593396b,"kernel: Memory: <*> available <*> kernel code, 0k reserved, <*> data, 228k init)"
232,b7c7e298,kernel: Monitor/Mwait feature present.
233,7e57dc31,kernel: POSIX conformance testing by UNIFIX
234,dc7f3c3a,kernel: Total of <*> processors activated <*> BogoMIPS).
235,9b50c26a,kernel: Using local APIC timer interrupts.
236,160b6e78,kernel: WARNING: No sibling found for CPU <*>
237,cf8392de,kernel: mtrr: v2.02 (20020716))
238,53b61a3a,kernel: number of IO-APIC <*> registers: 24.
239,8066cad3,kernel: number of MP IRQ sources: 16.
240,b4761f29,kernel: per-CPU timeslice cutoff: <*> usecs.
241,a92b6634,kernel: task migration cache decay timeout: 10 msecs.
242,cf2dc574,kernel: testing the IO APIC.......................
243,fb73c89d,random: Initializing random number generator: succeeded
244,a4feff66,kernel: <*> BM-DMA at <*> BIOS settings: <*> <*>
245,60e0fedb,kernel: <*> -> <*> -> vector <*> -> IRQ <*>
246,23d6d68c,kernel: ACPI: Interpreter enabled
247,c05d54f4,kernel: ACPI: PCI Interrupt Link <*> (IRQs <*> <*> 10 11)
248,a91ed0c4,"kernel: ACPI: PCI Interrupt Link <*> (IRQs 5 7 10 11, disabled)"
249,4f9120fc,kernel: ACPI: PCI Interrupt Link <*> enabled at IRQ <*>
250,0bda3a69,kernel: ACPI: PCI Interrupt Routing Table <*>
251,6b7da64b,kernel: ACPI: PCI Root Bridge [PCI0] (00:00)
252,5e03b9bc,kernel: ACPI: Subsystem revision 20030619
253,1f7cb1b0,kernel: ACPI: System [ACPI] (supports S0 S4 S5)
254,424cbc22,kernel: <*> Using <*> for <*> routing
255,7317b5ef,kernel: Based upon Swansea University Computer Society NET3.039
256,349fd257,kernel: Detected <*> MHz APIC timer.
257,8d7d7fa0,kernel: Disabling IRQ affinity setting
258,3462088f,kernel: Hugetlbfs mounted.
259,5612e61a,"kernel: IA32 emulation $Id: sys_ia32.c,v 1.56 2003/04/10 10:45:37 ak Exp $"
260,d66f8f87,kernel: ICH5: IDE controller at PCI slot 00:1f.1
261,d8ef1fba,kernel: ICH5: Not fully BIOS configured!
262,ceb2aea1,kernel: ICH5: chipset revision 2
263,75440b33,kernel: ICH5: not 100%% native mode: #43# probe irqs later
264,69fb963e,kernel: <*> Set PCI routing entry <*> -> <*> -> IRQ <*> Mode:1 Active:1
265,ade6bbc4,kernel: Initializing <*> netlink socket
266,f12febd9,kernel: Linux NET4.0 for Linux 2.4
267,0b1358bd,kernel: Linux agpgart interface v0.99 (c) Jeff Hartmann
268,b0f8ab72,kernel: NET4: Frame Diverter 0.46
269,b11c0acd,kernel: PCI-DMA: <*> <*>
270,b5470051,kernel: PCI: Device 00:1f.1 not available because of resource collisions
271,d936b9c6,kernel: PCI: Ignoring BAR0-3 of IDE controller 00:1f.1
272,05f432f3,kernel: PCI: Using configuration type 1
273,10fd1bb4,kernel: Pin <*> already programmed
274,c6b85ae6,kernel: RAMDISK driver initialized: 256 RAM disks of 8192K size 1024 blocksize
275,d976d249,kernel: Real Time Clock Driver v1.10e
276,96633264,kernel: Serial driver version 5.05c (2001-07-08) with MANY_PORTS MULTIPORT SHARE_IRQ SERIAL_PCI SERIAL_ACPI enabled
277,65695590,kernel: Starting kswapd
278,e37335bc,kernel: Starting migration thread for cpu <*>
279,7180049c,"kernel: Total HugeTLB memory allocated, 0"
280,0e9cf711,kernel: Uniform Multi-Platform E-IDE driver Revision: 7.00beta4-2.4
281,b4f1eea7,kernel: VFS: Disk quotas vdquot_6.5.1
282,63efabc4,kernel: agpgart: Maximum main memory to use for agp memory: <*>
283,5da790f5,kernel: agpgart: no supported devices found.
284,530ade38,kernel: aio_setup: num_physpages = <*>
285,a974084d,kernel: aio_setup: sizeof(struct page) = <*>
286,a41bed10,kernel: checking TSC synchronization across CPUs: passed.
287,3a856d26,kernel: cpu: <*> clocks: <*> slice: <*>
288,57e55085,kernel: ide-floppy driver 0.99.newide
289,e37a9667,kernel: ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx
290,1968b2e4,kernel: mtrr: probably your BIOS does not setup all CPUs
291,cfee979e,kernel: mtrr: your CPUs had inconsistent fixed MTRR settings
292,01ac684d,kernel: pty: 2048 Unix98 ptys configured
293,bb62cef6,kernel: <*> <*> failed
294,8e4b46fc,kernel: time.c: Using PIT/TSC based timekeeping.
295,2556bd53,kernel: <*> at <*> (irq = <*> is a 16550A
296,65e23988,kernel: blocks= <*> block_size= 512
297,ca2a536a,"kernel: heads= 255, sectors= 32, cylinders= <*> RAID <*>"
298,80aa436a,kernel: cciss/c0d0: p1 p2 p3 p4 < p5 p6 >
299,80094989,kernel: Adding Swap: 4096296k swap-space (priority -1)
300,eda5ae70,"kernel: EXT3 FS 2.4-0.9.19, 19 August 2002 on <*> internal journal"
301,17c659f3,kernel: EXT3-fs: mounted filesystem with ordered data mode.
302,e5390996,kernel: Freeing unused kernel memory: 228k freed
303,be1cdab0,kernel: HP CISS Driver (v 2.4.52.RH1)
304,6fb8c9f0,"kernel: IP: routing cache hash table of <*> buckets, <*>"
305,4aecf7cd,kernel: Initializing Cryptographic API
306,91f51603,kernel: Journalled Block Device driver loaded
307,58ea8f4f,kernel: Linux IP multicast router 0.06 plus PIM-SM
308,b3966d84,kernel: NET4: Linux TCP<*> for NET4.0
309,877dd05d,kernel: NET4: Unix domain sockets 1.0<*>
310,574ab747,kernel: PCI: 00:1d.7 PCI cache line size corrected to 64.
311,33f2e642,kernel: PCI: 00:1d.7 PCI cache line size set incorrectly (0 bytes) by BIOS/FW.
312,4700169f,kernel: PCI: Setting latency timer of device <*> to 64
313,f96e49d4,kernel: Partition check:
314,245c7d55,kernel: RAMDISK: Compressed image found at block 0
315,abc406a0,kernel: <*> <*> driver Revision: <*>
316,4f1bc7aa,kernel: TCP: Hash tables configured (established 262144 bind 65536)
317,669acb8c,kernel: VFS: Mounted root (ext2 filesystem).
318,8630c5e6,kernel: blk: queue <*> I/O limit 17592186044415Mb (mask 0xffffffffffffffff)
319,767ad4de,kernel: cciss: Device 0x46 has been found at bus 2 dev 1 func 0
320,7dcdb390,kernel: ehci-hcd 00:1d.7: PCI device 8086:25ad (Intel Corp.)
321,f8bd2673,"kernel: ehci-hcd 00:1d.7: USB 2.0 enabled, EHCI 1.00, driver 2003-Jan-22"
322,78ae0e71,kernel: ehci-hcd 00:1d.7: enabled 64bit PCI DMA
323,b26c5632,"kernel: ehci-hcd 00:1d.7: irq 23, pci mem <*>"
324,7d798f65,kernel: hid-core.c: USB HID support drivers
325,976e6765,"kernel: hid-core.c: v1.8.1 Andreas Gal, Vojtech Pavlik <#64#@suse.cz>"
326,2bfd8a8b,kernel: hub.c: <*> ports detected
327,7b7eaf6e,kernel: hub.c: USB hub found
328,6e91fb88,kernel: kjournald starting. Commit interval 5 seconds
329,4c55dadc,kernel: md: ... autorun DONE.
330,8fc1c622,kernel: md: Autodetecting RAID arrays.
331,89a27d49,kernel: md: autorun ...
332,6b2536ec,"kernel: md: md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27"
333,723683ce,kernel: mice: PS/2 mouse device common for all mice
334,dbe5fe46,kernel: usb-uhci.c: $Revision: 1.275 $ time <*> <*> <*> 2004
335,4044bf3f,kernel: usb-uhci.c: Detected 2 ports
336,c456fe32,kernel: usb-uhci.c: High bandwidth mode enabled
337,5ad62d06,kernel: usb-uhci.c: USB UHCI at I/O <*> IRQ <*>
338,14692987,kernel: usb-uhci.c: v1.275:USB Universal Host Controller Interface driver
339,03c73870,"kernel: usb.c: new USB bus registered, assigned bus number <*>"
340,3e031f22,kernel: usb.c: registered new driver <*>
341,75f702d8,kernel: 802.1Q VLAN Support v1.8 Ben Greear <#65#@#66#>
342,e12d4fac,kernel: Audit daemon registered (process <*>
343,428b8bf7,kernel: Broadcom Gigabit Ethernet Driver bcm5700 with Broadcom NIC Extension (NICE) ver. 7.2.24e (04/23/04)
344,e9ed4a29,kernel: audit subsystem ver 0.1 initialized
345,693b2d39,kernel: bcm5700: <*> NIC Link is <*> <*> Mbps full duplex
346,942f39c8,kernel: divert: <*> divert_blk for <*>
347,08676bac,kernel: <*> Broadcom BCM5704 Integrated Copper transceiver found
348,40d8feec,kernel: <*> HP NC7782 Gigabit Server Adapter found at mem <*> IRQ <*> node addr <*>
349,1406371b,"kernel: <*> Scatter-gather ON, 64-bit DMA ON, Tx Checksum ON, Rx Checksum ON, 802.1Q VLAN ON, NAPI ON"
350,f89e62fb,kernel: ip_tables: (C) 2000-2002 Netfilter core team
351,545674f9,kernel: ACPI: Power Button (FF) [PWRF]
352,09bb70a4,sshd: succeeded
353,07f45577,<*> Server listening on <*> port 22.
354,03700624,snmpd: NET-SNMP version 5.1
355,918072dd,snmpd: cmaX: listening for subagents on port 25375
356,8b009ce5,snmpd: cmaX: sent ColdStarts on ports 25376 to 25393
357,b3bf43ba,<*> Reading included configuration file: <*> [file=<*> <*>
358,49417d82,xinetd[2134]: removing <*>
359,43fde3a6,ntpd: <*>
360,2f625f7f,<*> frequency initialized <*> from /var/lib/ntp/drift
361,17575b17,<*> kernel time discipline status 0040
362,3a4622c7,<*> ntpd #67#@1.892 Tue Feb 24 06:31:19 EST 2004 (1)
363,18f00fbe,<*> precision = <*> usec
364,3bf01f60,<*> running as uid(38)/gid(38) euid(38)/egid(38).
365,f95beacd,<*> signal_no_reset: signal 13 had flags 4000000
366,f0f98054,<*> step time server <*> offset <*> sec
367,45338f57,<*> Started working: <*> available <*>
368,08b79e47,<*> xinetd Version 2.3.12 started with libwrap loadavg options compiled in.
369,9ad7ae04,<*> (CRON) STARTUP (fork ok)
370,dd8060d2,hpasm: Starting Proliant System Health Monitor (hpasmd) :
371,def9f6df,hpasm: Starting <*> agent <*> :
372,0731c875,hpasm: Starting <*> Agents <*> <*>
373,ec466ac0,hpasm: Starting Standard Equipment agent (cmastdeqd) :
374,580e0071,hpasm: Starting Server Agents (cmasvr): cmastdeqd cmahealthd cmaperfd
375,eca627ca,hpasm: WARNING: cmapeerd is not running;
376,01a4f042,hpasm: unable to access <*> MIB data.
377,e2b85cd3,hpasm: without cmapeerd you #43# be
378,8679bf46,hpasm: Starting NIC Agent Daemon (cmanicd):
379,f0b12074,hpasm: Starting Storage Event Logger (cmaeventd) :
380,1779962d,hpasm: Starting NIC Agents (cmanic): All agents
381,99829253,hpasm: Starting Storage Agents (cmastor): cmaeventd cmaidad
382,a169fb0a,modprobe: modprobe: Can't locate module <*>
383,7b9bf8a2,snmpd: cmaX: subMIB 18 #43# be sent on port 25393 to cpqnicd
384,f8e7526c,hpasm: [ OK ]
385,9a12072e,hpasm: hpasm: Server Management is enabled
386,96782594,pbs_mom: pbs_mom <*> <*>
387,88d7e1f7,<*> kernel time discipline status change <*>
388,e0e29dd8,"pbs_mom: im_eof, Premature end of message from addr <*>"
389,5d252a77,"pbs_mom: node_bailout, <*> POLL failed from node <*> <*>"
390,a85e2030,kernel: nfs: server <*> OK
391,73a3ea55,<*> authentication failure; <*> uid=0 euid=0 <*> ruser= <*>
392,d1a52371,<*> check pass; user unknown
393,5b1ad14b,<*> Failed password for <*> from <*> port <*> ssh2
394,83f78403,sshd[1649]: <*> <*> <*> closed by remote <*>
395,f3d205c6,<*> <*> password failed for user <*>
396,a085583b,<*> Password authentication for user <*> failed (from <*> port <*>
397,368390db,"<*> auths-pam: PAM subprocess returned packet SSH_PAM_OP_ERROR. (err_num: 7, err_msg: Authentication failure)"
398,a8dfa6bd,<*> PAM transaction resulted in error.
399,2a464d6e,sshd[3110]: <*> <*> <*> closed by remote <*>
400,5e9cd7f0,sshd[1774]: <*> <*> <*> closed by remote <*>
401,97422753,sshd[3314]: <*> <*> <*> closed by remote <*>
402,7cccf1ad,sshd[3550]: <*> <*> <*> closed by remote <*>
403,2a3fc91f,sshd[2049]: <*> <*> <*> closed by remote <*>
404,f9ae16b7,<*> WARNING: Setting tty modes failed: Invalid argument
405,369558eb,kernel: aa:432477 ac:3599 id:379 il:0 ic:0 fr:1275
406,bfd6d32c,kernel: <*> <*> <*> 4*32kB 1*64kB 0*128kB 3*256kB 1*512kB 3*1024kB 0*2048kB 0*4096kB = <*>
407,ff1996f9,kernel: aa:432759 ac:3704 id:122 il:0 ic:0 fr:1244
